,sample_20035,Sample_20139,sample_20185,Sample_20260,Sample_20464,sample_20476,Sample_20654,Sample_20655,Sample_20688,Sample_20736,sample_B10,Sample_B11,Sample_B12,Sample_B13,Sample_B14,sample_B15,Sample_B2,Sample_B3,Sample_B4,Sample_B5,sample_B6,Sample_B7,Sample_B8,Sample_B9,Sample_C1,sample_C10,Sample_C11,Sample_C12,Sample_C13,Sample_C14,Sample_C15,Sample_C2,Sample_C3,Sample_C4,Sample_C5,Sample_C6,Sample_C7,Sample_C8,Sample_C9
hsa-let-7a-5p,1738,5174,6384,1672,4026,3928,176,114,9591,4561,46,445,1007,317,280,478,1363,934,3342,211,1410,1264,2455,649,94,429,230,414,63,35,9,114,80,320,59,49,32,263,0
hsa-let-7c-5p,56,48,55,59,57,58,2,0,365,145,0,3,12,0,6,8,42,7,39,1,24,100,66,18,6,4,29,12,0,0,0,3,1,0,0,0,0,10,0
hsa-let-7e-5p,50,287,475,89,596,236,9,16,1032,155,0,19,2,7,0,3,143,34,74,20,10,64,112,10,13,14,1,11,0,0,0,12,2,0,0,0,6,0,0
hsa-let-7f-5p,3798,13613,15458,3369,10895,8360,455,148,12731,6284,55,409,1293,259,295,524,3490,1500,9905,213,1663,1851,2841,782,106,272,165,162,81,11,4,101,54,133,77,44,47,160,1
hsa-let-7g-5p,2699,999,1272,331,1386,1862,121,26,1967,869,0,81,283,45,101,191,694,119,3046,58,699,433,652,155,34,280,46,82,9,0,1,51,37,33,22,17,7,105,1
hsa-let-7i-5p,4612,4400,5463,1722,8071,22718,368,171,39555,20852,68,949,2349,672,1222,1575,4472,2706,16062,352,4723,2635,4313,1204,96,828,177,450,55,86,13,153,99,130,117,177,56,218,2
hsa-miR-100-5p,798,198,119,10472,98,44,12,16,161,98,41,331,712,74,503,62,1573,83,4609,1050,7611,2598,4349,185,10,20,66,38,16,14,2,70,1,13,25,11,9,2,1
hsa-miR-101-3p,1849,726,1150,958,1846,1796,100,14,1669,1293,47,324,1865,226,206,597,1720,374,7653,192,2682,1413,2496,762,56,180,66,77,18,33,9,48,12,25,39,39,47,95,1
hsa-miR-101-5p,1847,727,1130,958,1822,1768,100,14,1652,1278,47,325,1832,227,198,592,1694,364,7538,180,2662,1411,2443,750,56,173,66,77,18,33,11,48,12,25,39,39,47,95,1
hsa-miR-103a-2-5p,16036,3255,4604,5929,5073,2982,440,318,10819,6668,607,8190,13732,2528,29632,6680,7727,10546,48634,3959,40076,6669,28711,5017,300,903,894,498,345,123,36,470,134,1021,160,266,218,860,4
hsa-miR-103a-3p,16036,3252,4594,5929,5073,2981,440,318,10819,6664,607,8186,13732,2528,29634,6680,7727,10546,48634,3959,40076,6669,28711,5017,300,903,894,498,345,123,36,470,134,1021,160,266,218,860,4
hsa-miR-106a-5p,26,6,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-106b-5p,198,146,98,154,381,560,22,8,607,264,131,434,1711,271,424,418,612,520,2357,158,1700,832,1038,451,15,42,29,33,1,0,10,16,2,8,6,3,7,33,0
hsa-miR-107,15957,1201,2604,5639,3743,2732,433,310,10456,6268,607,8150,13610,2509,29574,6654,7524,10465,48406,3929,39980,6510,28518,4954,300,894,869,484,345,109,36,470,134,1017,154,266,212,860,4
hsa-miR-10a-5p,27343,8078,9748,11958,7881,2758,162,156,13076,1545,349,3066,6256,1580,6446,848,19279,10381,19019,1394,12395,19274,26491,2862,198,309,424,160,138,139,27,334,95,313,236,178,88,200,10
hsa-miR-10b-5p,10314,12832,14387,21541,7373,794,422,571,6452,1540,979,9181,20422,6725,7254,1790,35319,61953,38660,2384,31641,47139,81813,10866,225,404,1116,183,112,132,21,585,144,336,299,212,256,228,12
hsa-miR-1180-5p,14,0,0,17,0,1,0,0,29,5,0,37,85,16,32,17,8,0,45,21,76,23,41,3,2,2,6,1,0,10,0,9,0,0,0,0,0,0,0
hsa-miR-1185-5p,0,5,8,0,7,0,0,0,0,0,0,0,0,0,0,0,10,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1197,0,0,0,0,5,1,0,0,4,1,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-122-5p,50,6,3,310,6,5,0,0,83,21,0,33,19,19,18,0,49,4,103,53,245,198,118,1,21,51,35,396,0,2,0,56,13,106,5,11,2,0,0
hsa-miR-1228-5p,3,0,0,2,0,2,0,0,12,3,1,0,0,0,0,1,0,0,0,0,0,0,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-1229-3p,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1229-5p,0,0,0,11,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1238-5p,0,5,0,0,0,0,0,0,6,0,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-124-5p,0,0,5,9,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1247-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1247-5p,0,0,3,11,0,0,8,0,0,0,0,10,6,0,0,0,1,10,0,6,5,3,5,0,0,4,0,2,0,0,0,4,0,0,0,0,0,0,0
hsa-miR-1254,0,1,5,0,0,0,0,0,0,0,0,4,0,3,0,0,12,0,13,0,16,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1255a,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-125a-5p,2061,1469,1725,1258,837,307,11,4,1387,98,87,543,805,166,158,131,2631,153,1736,892,2608,3240,2548,869,92,117,220,79,7,37,6,227,8,14,30,37,1,57,6
hsa-miR-125b-2-3p,0,0,0,0,96,0,0,6,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,30,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0
hsa-miR-125b-5p,884,91,91,1850,220,50,8,7,492,51,24,201,385,63,259,44,669,65,1404,837,3950,1572,1496,83,25,11,89,69,10,8,9,174,5,17,11,14,0,18,0
hsa-miR-126-5p,20244,17744,14133,16065,21170,13628,194,181,40658,20779,72,644,2514,484,321,429,14735,536,18127,431,3598,8048,11672,2857,238,364,369,339,63,73,32,142,40,152,241,185,113,100,8
hsa-miR-1260a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
hsa-miR-1260b,0,62,0,0,0,0,0,0,94,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1262,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1266-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-127-5p,414,978,1851,571,2106,1604,0,25,5395,1802,291,270,306,104,642,104,3062,52,443,112,337,886,347,581,8,7,6,58,0,10,0,33,0,13,5,10,2,3,1
hsa-miR-1270,7,6,5,0,0,2,0,0,13,2,0,1,0,1,7,7,4,12,17,5,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1271-5p,6,4,9,4,16,7,0,0,30,16,0,0,0,0,0,0,49,0,46,0,18,11,3,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-1273c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1273h-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1275,9,0,0,0,0,0,0,0,3,0,7,4,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1276,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1278,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-128-1-5p,994,420,526,811,733,415,35,5,934,359,27,245,991,116,269,163,905,322,2238,172,1665,663,1096,377,12,49,34,28,7,0,0,14,2,30,14,9,15,25,1
hsa-miR-128-2-5p,969,329,471,805,644,341,35,5,787,292,26,228,940,116,263,140,834,284,2181,169,1648,636,1072,349,12,49,19,24,7,0,0,9,2,30,14,9,15,25,1
hsa-miR-1283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1284,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1287-5p,8,0,0,4,15,16,0,0,42,14,4,4,14,0,0,1,4,0,21,23,29,17,25,13,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-129-5p,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1291,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1292-5p,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,4,0,11,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1293,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1294,3,0,5,0,2,3,0,0,10,0,0,0,0,0,2,6,7,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0
hsa-miR-1295a,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1295b-5p,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1296-5p,3,3,10,0,3,7,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1299,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1301-5p,47,97,53,13,45,26,0,0,0,37,5,8,9,1,8,0,57,5,58,12,0,0,0,15,6,4,3,1,0,3,0,7,0,0,0,1,0,0,0
hsa-miR-1304-5p,0,0,32,0,194,154,0,0,156,0,0,0,273,0,0,27,199,70,0,46,79,86,69,263,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
hsa-miR-1306-3p,0,0,6,0,2,5,0,0,0,2,0,6,0,0,0,0,0,0,0,3,9,7,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-1306-5p,0,4,6,0,0,6,0,0,33,3,0,6,11,0,0,10,3,3,6,4,9,7,16,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-1307-5p,1084,660,670,1372,950,613,53,27,961,500,296,723,835,166,1498,193,1494,1049,3251,315,2171,1753,1808,536,36,37,6,106,15,15,8,61,1,0,27,0,20,31,0
hsa-miR-130a-5p,1517,1377,938,1767,958,891,93,52,2121,866,60,333,617,93,640,170,1853,899,3035,122,2237,1024,2310,354,96,42,32,40,25,13,2,36,8,190,20,21,12,58,1
hsa-miR-130b-5p,648,364,464,981,373,482,103,26,873,256,49,246,662,87,647,123,494,784,2353,95,1218,422,1068,246,17,59,9,19,2,1,1,13,10,134,10,9,16,18,0
hsa-miR-132-5p,48,15,4,15,103,47,0,0,102,60,3,16,44,10,22,0,53,24,51,4,40,41,35,40,0,0,0,0,8,0,0,0,3,0,6,0,0,0,0
hsa-miR-1322,21,5,6,8,4,29,0,0,15,9,0,0,5,0,0,12,11,4,87,0,8,11,27,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-1323,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-133a-5p,27,81,150,0,11,25,0,3,65,11,0,7,21,7,0,0,25,0,33,5,7,17,15,15,6,10,0,2,0,0,0,11,0,0,0,0,0,0,0
hsa-miR-133b,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-134-5p,14,26,14,3,88,114,0,4,222,150,0,11,12,6,2,7,96,0,26,0,0,27,5,25,0,0,19,4,0,0,0,8,0,14,9,0,0,0,0
hsa-miR-1343-5p,0,13,6,0,0,0,0,0,14,0,0,0,1,0,0,0,5,0,0,1,0,0,5,3,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0
hsa-miR-136-5p,50,68,153,50,124,63,0,0,300,81,0,11,0,2,23,2,154,4,59,0,9,26,24,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
hsa-miR-138-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-139-5p,29,21,23,57,24,11,5,0,67,12,5,9,14,7,1,0,12,0,25,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-140-5p,1825,887,995,411,3692,2224,64,14,1937,1590,77,508,2027,203,491,311,1746,240,4715,262,1741,1717,1714,1407,43,113,37,101,8,38,1,47,1,27,28,26,12,16,1
hsa-miR-141-5p,228,16,13,14,8,19,0,0,65,2,0,13,6,0,0,5,47,0,174,0,31,40,28,6,0,0,3,4,0,5,0,0,0,0,4,1,0,0,0
hsa-miR-142-5p,52093,5096,11364,3930,11332,12558,537,147,9592,4090,148,1119,7179,466,1491,1580,8231,1018,65085,833,9031,5804,6949,4739,219,1038,276,353,247,112,28,449,72,70,146,242,167,779,2
hsa-miR-143-5p,9844,1487,1022,978,1806,2175,28,12,3820,1278,12,115,458,159,489,406,4249,1737,7650,124,2743,1893,1295,381,48,51,87,66,22,13,8,31,7,31,85,34,24,118,0
hsa-miR-144-5p,137,269,270,171,0,0,6,0,121,67,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,7,0,0,5,0,0,2,0,0,5,6,10,11,0
hsa-miR-145-5p,68,19,14,46,9,7,0,0,55,5,6,0,10,0,1,0,155,0,124,10,115,51,54,11,0,3,0,0,0,0,0,2,0,0,0,0,0,5,0
hsa-miR-1468-5p,16,5,3,15,44,42,0,0,63,34,0,27,91,16,45,5,61,6,46,62,148,128,74,46,4,6,0,3,0,0,1,1,0,0,0,0,0,2,0
hsa-miR-146a-5p,5031,2397,345,366,1364,623,30,24,2728,900,0,57,112,57,260,40,1627,632,2374,63,447,1186,783,196,32,53,15,28,24,0,3,24,2,0,17,20,6,29,1
hsa-miR-146b-3p,248,0,0,0,181,116,14,0,0,0,7,58,175,45,134,41,0,87,0,13,225,0,181,84,0,0,0,10,0,0,1,0,0,0,0,0,0,9,0
hsa-miR-146b-5p,395,322,158,226,283,140,16,1,139,43,7,68,185,45,137,46,141,143,345,33,253,242,310,114,7,16,9,10,0,0,1,0,0,0,0,8,0,9,0
hsa-miR-148a-3p,8224,2345,6324,5811,8035,7928,466,168,11998,5229,74,1015,6305,1627,716,717,10352,3154,65091,774,7020,5104,5400,1795,137,204,185,177,70,68,42,314,135,187,128,49,109,415,1
hsa-miR-148a-5p,8336,2388,6366,5901,8205,8025,470,176,12129,5285,78,1059,6575,1674,785,719,10686,3211,66667,815,7171,5348,5554,1918,141,205,185,177,70,77,42,322,139,187,129,49,109,436,1
hsa-miR-148b-5p,168,1224,2162,93,575,249,0,0,513,343,0,23,42,0,31,18,324,27,401,8,93,139,103,25,0,7,7,1,0,0,0,0,6,0,0,0,0,0,0
hsa-miR-149-5p,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,6,0,28,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-150-5p,5682,633,436,2790,10736,2729,758,47,244,96,318,1244,3919,560,811,1231,1671,135,5571,936,4105,2637,1916,5992,133,477,77,157,34,34,10,625,21,90,23,61,15,419,1
hsa-miR-151b,5912,10383,12581,3753,22564,14118,157,111,16676,10880,477,1747,4413,1068,1859,1050,13979,2274,13042,1381,6788,10216,10377,6739,168,277,190,334,63,44,18,133,25,88,220,150,75,84,1
hsa-miR-152-5p,62,17,28,31,35,34,0,0,126,45,0,8,17,11,15,1,41,0,96,16,22,39,30,11,0,0,0,0,0,0,0,5,0,0,4,4,0,0,0
hsa-miR-153-3p,0,5,3,0,4,0,0,0,16,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-153-5p,0,0,1,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1537-5p,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1538,8,6,11,0,33,15,0,6,25,14,13,4,16,0,2,9,7,16,9,12,19,16,0,22,0,2,5,2,0,0,0,8,0,6,0,0,0,0,0
hsa-miR-154-5p,0,8,0,0,4,10,0,0,4,1,0,0,0,0,0,0,7,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-155-5p,65,80,53,77,132,31,5,0,37,40,0,24,44,1,0,0,49,29,262,1,18,64,131,40,0,7,0,6,0,0,0,2,0,0,4,0,1,6,0
hsa-miR-15a-5p,5926,915,2173,2347,1036,2082,101,45,8488,2725,113,1357,3586,296,1789,1217,2736,977,20837,366,10861,1755,6502,1195,108,355,367,167,98,74,18,168,37,152,73,73,37,272,2
hsa-miR-15b-5p,129,133,201,43,57,96,0,0,318,98,0,0,0,0,0,0,144,5,0,14,0,62,0,0,2,6,6,0,0,0,1,0,0,0,1,0,0,0,0
hsa-miR-16-5p,24436,6360,6652,3562,9431,13738,342,135,35039,10968,766,5802,25414,1281,3033,4237,15205,939,73777,3883,45092,17234,26152,10263,312,1531,687,624,332,261,77,440,41,109,352,224,254,959,4
hsa-miR-17-5p,0,158,114,28,87,64,0,0,169,83,0,14,32,9,15,9,64,0,0,2,29,49,46,10,0,0,0,2,0,0,0,0,0,0,0,0,1,10,0
hsa-miR-181a-5p,17944,15917,12962,10055,18477,24423,842,224,23642,6893,1624,6114,14200,2853,13653,3789,24339,16059,49770,4220,26467,14441,36296,12672,239,1065,503,357,304,146,22,392,99,260,268,155,88,431,6
